"","Site_Number","Site","Year","Month","Day","Season_Sampled","Response_Value","Response"
"104",12,"PortalAZ",2012,7,28,"Fall",1033,"Abundance"
"306",12,"PortalAZ",2012,7,28,"Fall",52,"Richness"
"105",12,"PortalAZ",2013,7,27,"Fall",445,"Abundance"
"307",12,"PortalAZ",2013,7,27,"Fall",45,"Richness"
"106",12,"PortalAZ",2014,7,26,"Fall",1193,"Abundance"
"308",12,"PortalAZ",2014,7,26,"Fall",56,"Richness"
"107",12,"PortalAZ",2015,8,2,"Fall",484,"Abundance"
"309",12,"PortalAZ",2015,8,2,"Fall",43,"Richness"
"108",12,"PortalAZ",2016,7,23,"Fall",689,"Abundance"
"310",12,"PortalAZ",2016,7,23,"Fall",56,"Richness"
"109",12,"PortalAZ",2017,7,23,"Fall",515,"Abundance"
"311",12,"PortalAZ",2017,7,23,"Fall",60,"Richness"
"110",12,"PortalAZ",2018,7,27,"Fall",1007,"Abundance"
"312",12,"PortalAZ",2018,7,27,"Fall",64,"Richness"
"111",12,"PortalAZ",2019,7,25,"Fall",1006,"Abundance"
"313",12,"PortalAZ",2019,7,25,"Fall",63,"Richness"
"112",12,"PortalAZ",2020,8,2,"Fall",1259,"Abundance"
"314",12,"PortalAZ",2020,8,2,"Fall",50,"Richness"
"113",12,"PortalAZ",2021,8,6,"Fall",431,"Abundance"
"315",12,"PortalAZ",2021,8,6,"Fall",43,"Richness"
"189",13,"SantaRitaMountains",2011,7,31,"Fall",588,"Abundance"
"391",13,"SantaRitaMountains",2011,7,31,"Fall",36,"Richness"
"190",13,"SantaRitaMountains",2012,7,29,"Fall",849,"Abundance"
"392",13,"SantaRitaMountains",2012,7,29,"Fall",52,"Richness"
"191",13,"SantaRitaMountains",2013,7,28,"Fall",1071,"Abundance"
"393",13,"SantaRitaMountains",2013,7,28,"Fall",56,"Richness"
"192",13,"SantaRitaMountains",2014,7,27,"Fall",1067,"Abundance"
"394",13,"SantaRitaMountains",2014,7,27,"Fall",58,"Richness"
"193",13,"SantaRitaMountains",2015,7,26,"Fall",4878,"Abundance"
"395",13,"SantaRitaMountains",2015,7,26,"Fall",84,"Richness"
"194",13,"SantaRitaMountains",2016,7,31,"Fall",1587,"Abundance"
"396",13,"SantaRitaMountains",2016,7,31,"Fall",68,"Richness"
"195",13,"SantaRitaMountains",2017,7,26,"Fall",998,"Abundance"
"397",13,"SantaRitaMountains",2017,7,26,"Fall",55,"Richness"
"196",13,"SantaRitaMountains",2018,7,29,"Fall",2994,"Abundance"
"398",13,"SantaRitaMountains",2018,7,29,"Fall",71,"Richness"
"197",13,"SantaRitaMountains",2019,7,28,"Fall",1100,"Abundance"
"399",13,"SantaRitaMountains",2019,7,28,"Fall",69,"Richness"
"198",13,"SantaRitaMountains",2020,7,31,"Fall",1803,"Abundance"
"400",13,"SantaRitaMountains",2020,7,31,"Fall",76,"Richness"
"199",13,"SantaRitaMountains",2021,7,31,"Fall",1496,"Abundance"
"401",13,"SantaRitaMountains",2021,7,31,"Fall",42,"Richness"
